Node{identificator='79_84_83', x='840', y='564', raw='5', id='10000', cor='-7571868', connected='13_36_76', minorisWay=''}
Node{identificator='16_76_79', x='429', y='316', raw='5', id='798.5067', cor='-9110997', connected='62_72_42', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 36_30_85 45_65_37 93_49_37 47_43_46 34_89_84 91_92_29 31_78_41 55_44_36'}
Node{identificator='49_95_96', x='458', y='301', raw='5', id='900.1671', cor='-14869237', connected='90_88_17', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54 39_52_41 21_36_70 73_99_72 31_96_39'}
Node{identificator='73_99_72', x='557', y='355', raw='5', id='785.84937', cor='-9599606', connected='31_96_39', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54 39_52_41 21_36_70'}
Node{identificator='31_96_39', x='534', y='351', raw='5', id='809.1946', cor='-242899', connected='49_95_96', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54 39_52_41 21_36_70 73_99_72'}
Node{identificator='21_36_70', x='565', y='355', raw='5', id='777.84937', cor='-15105348', connected='73_99_72', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54 39_52_41'}
Node{identificator='39_52_41', x='584', y='352', raw='5', id='758.61395', cor='-13986309', connected='21_36_70', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54'}
Node{identificator='37_26_54', x='572', y='315', raw='5', id='719.7167', cor='-877355', connected='39_52_41', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90'}
Node{identificator='31_45_90', x='587', y='299', raw='5', id='697.785', cor='-3950345', connected='37_26_54', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56'}
Node{identificator='99_91_56', x='610', y='274', raw='5', id='663.8144', cor='-3164741', connected='31_45_90', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46'}
Node{identificator='46_97_46', x='640', y='303', raw='5', id='622.0891', cor='-14464281', connected='99_91_56', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32'}
Node{identificator='22_54_32', x='603', y='343', raw='5', id='567.6006', cor='-9531668', connected='27_88_24 46_97_46', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19'}
Node{identificator='42_32_19', x='618', y='390', raw='5', id='518.265', cor='-8027723', connected='27_88_24 22_54_32', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66'}
Node{identificator='27_88_24', x='634', y='374', raw='5', id='540.89246', cor='-6171654', connected='80_35_21 22_54_32', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19'}
Node{identificator='80_35_21', x='671', y='330', raw='5', id='598.3816', cor='-10679618', connected='46_97_46', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 27_88_24'}
Node{identificator='93_49_37', x='650', y='480', raw='5', id='466.3848', cor='-1630885', connected='47_43_46', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 36_30_85 45_65_37'}
Node{identificator='34_89_84', x='482', y='385', raw='5', id='699.27423', cor='-8726039', connected='91_92_29', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 36_30_85 45_65_37 93_49_37 47_43_46'}
Node{identificator='90_88_17', x='446', y='299', raw='5', id='912.33264', cor='-6744908', connected='96_89_44', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 76_43_66 42_32_19 22_54_32 46_97_46 99_91_56 31_45_90 37_26_54 39_52_41 21_36_70 73_99_72 31_96_39 49_95_96'}
Node{identificator='76_43_66', x='652', y='487', raw='5', id='415.47885', cor='-167513', connected='42_32_19', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96'}
Node{identificator='86_34_82', x='723', y='661', raw='5', id='202.73642', cor='-13699741', connected='18_52_35', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12'}
Node{identificator='18_52_35', x='718', y='667', raw='5', id='210.54668', cor='-2301325', connected='12_55_10', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82'}
