Node{identificator='67_69_67', x='919', y='740', raw='2', id='10000', cor='-3515642', connected='96_98_12 98_93_44', minorisWay=''}
Node{identificator='61_43_38', x='853', y='711', raw='2', id='159.47263', cor='-1612526', connected='98_72_11', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68'}
Node{identificator='98_72_11', x='844', y='719', raw='2', id='171.51422', cor='-9141738', connected='36_20_35', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38'}
Node{identificator='36_20_35', x='836', y='727', raw='2', id='182.82793', cor='-601665', connected='82_69_70', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11'}
Node{identificator='82_69_70', x='828', y='730', raw='2', id='191.37193', cor='-5807486', connected='47_24_67', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11 36_20_35'}
Node{identificator='47_24_67', x='819', y='731', raw='2', id='200.42732', cor='-13928293', connected='20_60_63', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11 36_20_35 82_69_70'}
Node{identificator='20_60_63', x='820', y='737', raw='2', id='206.51009', cor='-998810', connected='83_87_33', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11 36_20_35 82_69_70 47_24_67'}
Node{identificator='83_87_33', x='826', y='751', raw='2', id='221.74164', cor='-9666922', connected='84_48_79', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11 36_20_35 82_69_70 47_24_67 20_60_63'}
Node{identificator='84_48_79', x='829', y='761', raw='2', id='232.18195', cor='-16633601', connected='', minorisWay='67_69_67 96_98_12 77_42_41 71_75_99 78_92_75 21_92_29 98_97_63 69_45_35 24_59_43 57_33_24 42_10_76 39_25_56 74_40_63 74_14_11 64_13_56 89_65_68 61_43_38 98_72_11 36_20_35 82_69_70 47_24_67 20_60_63 83_87_33'}
Node{identificator='50_62_94', x='860', y='859', raw='2', id='169.00323', cor='-6590567', connected='50_75_38', minorisWay='67_69_67 98_93_44 29_30_36 50_32_83 58_68_34 79_10_20 85_56_34 46_81_84 24_99_19 54_17_42 14_22_69 70_55_36 33_31_38 34_86_62'}
Node{identificator='34_86_62', x='870', y='854', raw='2', id='157.82289', cor='-14837147', connected='50_62_94', minorisWay='67_69_67 98_93_44 29_30_36 50_32_83 58_68_34 79_10_20 85_56_34 46_81_84 24_99_19 54_17_42 14_22_69 70_55_36 33_31_38'}
Node{identificator='50_86_99', x='853', y='837', raw='2', id='192.09473', cor='-4251270', connected='', minorisWay='67_69_67 98_93_44 29_30_36 50_32_83 58_68_34 79_10_20 85_56_34 46_81_84 24_99_19 54_17_42 14_22_69 70_55_36 33_31_38 34_86_62 50_62_94 50_75_38'}
Node{identificator='50_32_83', x='890', y='750', raw='2', id='34.913334', cor='-2473566', connected='58_68_34', minorisWay='67_69_67 98_93_44 29_30_36'}
Node{identificator='58_68_34', x='887', y='755', raw='2', id='40.744286', cor='-13393414', connected='79_10_20', minorisWay='67_69_67 98_93_44 29_30_36 50_32_83'}
Node{identificator='79_10_20', x='889', y='763', raw='2', id='48.990498', cor='-14313841', connected='85_56_34', minorisWay='67_69_67 98_93_44 29_30_36 50_32_83 58_68_34'}
