Node{identificator='77_30_59', x='956', y='715', raw='4', id='10000', cor='-15267288', connected='96_28_22', minorisWay=''}
Node{identificator='30_57_71', x='-940', y='879', raw='4', id='3289.7097', cor='-1696833', connected='20_83_73', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16 67_21_51 86_62_78 57_89_73'}
Node{identificator='20_83_73', x='-941', y='934', raw='4', id='3344.7188', cor='-9471273', connected='80_91_40', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16 67_21_51 86_62_78 57_89_73 30_57_71'}
Node{identificator='80_91_40', x='-943', y='948', raw='4', id='3358.8608', cor='-1933013', connected='54_75_94', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16 67_21_51 86_62_78 57_89_73 30_57_71 20_83_73'}
Node{identificator='54_75_94', x='-955', y='1004', raw='4', id='2987.3057', cor='-76172', connected='28_97_42', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 79_15_53 13_97_34 71_46_80 83_91_95 69_87_18 17_29_44 66_70_33 39_12_73 95_83_91 46_53_34 57_33_11'}
Node{identificator='28_97_42', x='-967', y='1068', raw='4', id='3052.421', cor='-9104228', connected='26_21_77 76_26_62', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 79_15_53 13_97_34 71_46_80 83_91_95 69_87_18 17_29_44 66_70_33 39_12_73 95_83_91 46_53_34 57_33_11 54_75_94'}
Node{identificator='96_28_22', x='969', y='708', raw='4', id='14.764823', cor='-10261473', connected='79_37_52', minorisWay='77_30_59'}
Node{identificator='79_37_52', x='973', y='721', raw='4', id='28.366295', cor='-2014272', connected='97_89_70', minorisWay='77_30_59 96_28_22'}
Node{identificator='97_89_70', x='974', y='728', raw='4', id='35.437363', cor='-6306394', connected='11_66_37', minorisWay='77_30_59 96_28_22 79_37_52'}
Node{identificator='11_66_37', x='932', y='756', raw='4', id='85.915085', cor='-13096240', connected='41_91_66', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70'}
Node{identificator='41_91_66', x='911', y='771', raw='4', id='111.72206', cor='-16530487', connected='45_54_53', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37'}
