Node{identificator='18_34_19', x='211', y='690', raw='5', id='10000', cor='-4196306', connected='92_23_29', minorisWay=''}
Node{identificator='75_80_21', x='267', y='371', raw='5', id='394.70312', cor='-2181778', connected='93_75_34', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 31_31_56 25_93_92 17_40_50 94_19_46'}
Node{identificator='93_75_34', x='320', y='356', raw='5', id='449.78488', cor='-9303536', connected='56_30_11 18_11_34', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 31_31_56 25_93_92 17_40_50 94_19_46 75_80_21'}
Node{identificator='94_43_10', x='230', y='333', raw='5', id='403.3484', cor='-790019', connected='40_64_99', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90'}
Node{identificator='43_32_59', x='166', y='481', raw='5', id='241.91812', cor='-13097014', connected='44_17_90', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57'}
Node{identificator='45_13_57', x='166', y='496', raw='5', id='226.91812', cor='-11779881', connected='43_32_59', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65'}
Node{identificator='32_21_65', x='177', y='529', raw='5', id='192.13307', cor='-3678002', connected='45_13_57', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85'}
Node{identificator='44_17_90', x='180', y='440', raw='5', id='285.2425', cor='-5512191', connected='94_43_10', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59'}
Node{identificator='40_64_99', x='242', y='320', raw='5', id='421.0402', cor='-15707191', connected='56_30_11', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10'}
Node{identificator='56_30_11', x='264', y='309', raw='5', id='445.63693', cor='-11696153', connected='93_75_34 99_78_39', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99'}
Node{identificator='99_78_39', x='429', y='279', raw='5', id='613.34204', cor='-15935756', connected='97_82_33 69_19_84', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11'}
Node{identificator='97_82_33', x='441', y='269', raw='5', id='628.9625', cor='-649525', connected='75_57_71', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39'}
Node{identificator='75_57_71', x='474', y='235', raw='5', id='676.34393', cor='-16142189', connected='98_53_76', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 97_82_33'}
Node{identificator='98_53_76', x='421', y='196', raw='5', id='742.14667', cor='-487256', connected='73_24_58', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 97_82_33 75_57_71'}
Node{identificator='73_24_58', x='419', y='188', raw='5', id='750.3929', cor='-7794866', connected='96_93_11', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 97_82_33 75_57_71 98_53_76'}
Node{identificator='96_93_11', x='430', y='186', raw='5', id='761.57324', cor='-2818475', connected='24_10_76', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 97_82_33 75_57_71 98_53_76 73_24_58'}
Node{identificator='18_11_34', x='479', y='321', raw='5', id='612.59155', cor='-2833142', connected='99_78_39', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 31_31_56 25_93_92 17_40_50 94_19_46 75_80_21 93_75_34'}
Node{identificator='69_19_84', x='556', y='253', raw='5', id='742.97614', cor='-1534151', connected='71_88_16', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39'}
Node{identificator='71_88_16', x='581', y='253', raw='5', id='767.97614', cor='-14250373', connected='48_74_30', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 69_19_84'}
Node{identificator='12_88_45', x='511', y='425', raw='5', id='488.0644', cor='-1660798', connected='70_13_45 39_22_62', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45'}
Node{identificator='70_13_45', x='587', y='408', raw='5', id='565.9425', cor='-2918973', connected='15_32_74', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45'}
Node{identificator='15_32_74', x='641', y='400', raw='5', id='620.53186', cor='-6772111', connected='68_78_25 51_55_25', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45'}
Node{identificator='68_78_25', x='640', y='334', raw='5', id='686.5394', cor='-11529590', connected='99_57_13', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74'}
Node{identificator='95_70_35', x='719', y='143', raw='5', id='894.3529', cor='-10768506', connected='24_82_20 25_38_84', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 68_78_25 99_57_13 97_86_22'}
Node{identificator='99_57_13', x='665', y='292', raw='5', id='735.4168', cor='-2332972', connected='31_68_67 97_86_22', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 68_78_25'}
Node{identificator='74_38_33', x='633', y='273', raw='5', id='732.6827', cor='-6663880', connected='99_57_13', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82 51_85_98 15_61_17 55_73_57 37_93_66 39_72_83 69_95_91 68_79_81'}
Node{identificator='48_74_30', x='600', y='257', raw='5', id='787.39264', cor='-8469190', connected='74_38_33', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 32_21_65 45_13_57 43_32_59 44_17_90 94_43_10 40_64_99 56_30_11 99_78_39 69_19_84 71_88_16'}
Node{identificator='68_79_81', x='571', y='340', raw='5', id='641.3974', cor='-4004991', connected='74_38_33', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82 51_85_98 15_61_17 55_73_57 37_93_66 39_72_83 69_95_91'}
Node{identificator='69_95_91', x='553', y='356', raw='5', id='617.3142', cor='-7658135', connected='68_79_81', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82 51_85_98 15_61_17 55_73_57 37_93_66 39_72_83'}
Node{identificator='39_72_83', x='535', y='365', raw='5', id='597.1896', cor='-15615376', connected='69_95_91', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82 51_85_98 15_61_17 55_73_57 37_93_66'}
Node{identificator='37_93_66', x='517', y='370', raw='5', id='578.50806', cor='-10258459', connected='39_72_83', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82 51_85_98 15_61_17 55_73_57'}
Node{identificator='51_55_25', x='690', y='390', raw='5', id='670.5419', cor='-15648531', connected='83_36_65', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74'}
Node{identificator='83_36_65', x='710', y='390', raw='5', id='690.5419', cor='-7885653', connected='22_52_38', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 51_55_25'}
Node{identificator='22_52_38', x='728', y='392', raw='5', id='708.65265', cor='-12975027', connected='74_25_35', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 51_55_25 83_36_65'}
Node{identificator='74_25_35', x='777', y='415', raw='5', id='762.7821', cor='-13790926', connected='31_68_67', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 51_55_25 83_36_65 22_52_38'}
